category,personName,country,city,source,industries,countryOfCitizenship,organization,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,gdp_country
Finance & Investments,Don Hankey,United States,Malibu,Auto loans,Finance & Investments,United States,Hankey Group,U,M,1943-06-13 00:00:00,Hankey,Don,Chairman,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Energy,Richard Kinder,United States,Houston,Pipelines,Energy,United States,Kinder Morgan Inc,D,M,1944-10-19 00:00:00,Kinder,Richard,Chairman and CEO,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Finance & Investments,Guillaume Pousaz,United Arab Emirates,Dubai,Fintech,Finance & Investments,Switzerland,,D,M,1981-08-15 00:00:00,Pousaz,Guillaume,,2023-04-04 05:01:00,,,"$421,142,267,938 "
Fashion & Retail,Takahisa Takahara,Japan,Tokyo,Personal care goods,Fashion & Retail,Japan,,U,M,1961-07-12 00:00:00,Takahara,Takahisa,,2023-04-04 05:01:00,,,"$5,081,769,542,380 "
Food & Beverage,Zong Qinghou,China,Hangzhou,Beverages,Food & Beverage,China,Hangzhou Wahaha Group,D,M,1945-10-01 00:00:00,Zong,Qinghou,Chairman,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Technology,Judy Faulkner,United States,Madison,Healthcare software,Technology,United States,Epic Systems,U,F,1943-08-01 00:00:00,Faulkner,Judy,Founder and CEO,2023-04-04 05:01:00,Wisconsin,Midwest,"$21,427,700,000,000 "
Gambling & Casinos,Johann Graf,Austria,Vienna,Gambling,Gambling & Casinos,Austria,,U,M,1947-01-03 00:00:00,Graf,Johann,,2023-04-04 05:01:00,,,"$446,314,739,528 "
Service,Tamara Gustavson,United States,Lexington,Self storage,Service,United States,,D,F,1961-11-16 00:00:00,Gustavson,Tamara,,2023-04-04 05:01:00,Kentucky,South,"$21,427,700,000,000 "
Manufacturing,Liang Wengen,China,Changsha,Construction equipment,Manufacturing,China,,D,M,1956-12-14 00:00:00,Liang,Wengen,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Healthcare,Frederik Paulsen,Switzerland,Lausanne,Health care,Healthcare,Sweden,,D,M,1950-10-30 00:00:00,Paulsen,Frederik,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Finance & Investments,Wee Cho Yaw,Singapore,Singapore,Banking,Finance & Investments,Singapore,,D,M,1929-01-10 00:00:00,Wee,Cho Yaw,,2023-04-04 05:01:00,,,"$372,062,527,489 "
Manufacturing,Zhang Hejun,China,Ningbo,Electronics,Manufacturing,China,,U,M,1952-01-01 00:00:00,Zhang,Hejun,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Technology,Marc Benioff,United States,San Francisco,Business software,Technology,United States,Salesforce.com,D,M,1964-09-25 00:00:00,Benioff,Marc,Chairman and CEO,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Media & Entertainment,Dmitri Bukhman,United Kingdom,London,Online games,Media & Entertainment,Israel,,D,M,1985-05-27 00:00:00,Bukhman,Dmitri,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Media & Entertainment,Igor Bukhman,United Kingdom,London,Online games,Media & Entertainment,Israel,,D,M,1982-03-29 00:00:00,Bukhman,Igor,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Technology,Jack Dangermond,United States,Redlands,Mapping software,Technology,United States,,U,M,1945-07-23 00:00:00,Dangermond,Jack,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Manufacturing,Ashwin Dani & family,India,Mumbai,Paints,Manufacturing,India,,D,M,1942-10-24 00:00:00,Dani,Ashwin,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Fashion & Retail,Ralph Lauren,United States,New York,Apparel,Fashion & Retail,United States,Ralph Lauren,U,M,1939-10-14 00:00:00,Lauren,Ralph,Chairman ,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Real Estate,Law Kar Po,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,U,M,1948-08-02 00:00:00,Law,Kar Po,,2023-04-04 05:01:00,,,
Diversified,Rohiqa Cyrus Mistry,India,Mumbai,Diversified,Diversified,India,,N,F,1967-06-06 00:00:00,Mistry,Rohiqa Cyrus,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Diversified,Shapoor Mistry,India,Mumbai,Diversified,Diversified,Ireland,,N,M,1964-09-06 00:00:00,Mistry,Shapoor,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Food & Beverage,J. Christopher Reyes,United States,Hobe Sound,Food distribution,Food & Beverage,United States,"Reyes Holdings, LLC",D,M,1953-12-29 00:00:00,Reyes,J. Christopher,Co-Chairman,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Food & Beverage,Jude Reyes,United States,Palm Beach,Food distribution,Food & Beverage,United States,"Reyes Holdings, LLC",D,M,1955-09-16 00:00:00,Reyes,Jude,Co-Chairman,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Food & Beverage,Don Vultaggio & family,United States,Port Washington,Beverages,Food & Beverage,United States,,U,M,1952-02-26 00:00:00,Vultaggio,Don,,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Diversified,Alejandro Bailleres Gual & family,Mexico,,Diversified,Diversified,Mexico,,U,M,1961-01-01 00:00:00,Bailleres Gual,Alejandro,,2023-04-04 05:01:00,,,"$1,258,286,717,125 "
Diversified,Edythe Broad & family,United States,Los Angeles,"Homebuilding, insurance",Diversified,United States,,E,F,1936-01-01 00:00:00,Broad,Edythe,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Food & Beverage,Pauline MacMillan Keinath,United States,St. Louis,Cargill,Food & Beverage,United States,,D,F,1934-01-01 00:00:00,Keinath,Pauline MacMillan,,2023-04-04 05:01:00,Missouri,Midwest,"$21,427,700,000,000 "
Finance & Investments,Philippe Laffont,United States,New York,Hedge fund,Finance & Investments,United States,Coatue Management,U,M,1967-09-16 00:00:00,Laffont,Philippe,Founder,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Technology,Liu Jincheng & family,China,Huizhou,Lithium batteries,Technology,China,,D,M,1964-09-22 00:00:00,Liu,Jincheng,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Real Estate,Igor Olenicoff,United States,Lighthouse Point,Real estate,Real Estate,United States,,U,M,1942-09-20 00:00:00,Olenicoff,Igor,,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Fashion & Retail,Sandra Ortega Mera,Spain,La Coruna,Zara,Fashion & Retail,Spain,,U,F,1968-07-09 00:00:00,Ortega Mera,Sandra,,2023-04-04 05:01:00,,,"$1,394,116,310,769 "
Healthcare,Ronda Stryker,United States,Portage,Medical equipment,Healthcare,United States,,U,F,1954-05-01 00:00:00,Stryker,Ronda,,2023-04-04 05:01:00,Michigan,Midwest,"$21,427,700,000,000 "
Energy,Dannine Avara,United States,Houston,Pipelines,Energy,United States,,U,F,1964-03-09 00:00:00,Avara,Dannine,,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Diversified,Silvio Berlusconi & family,Italy,Milan,Media,Diversified,Italy,,D,M,1936-09-29 00:00:00,Berlusconi,Silvio,,2023-04-04 05:01:00,,,"$2,001,244,392,042 "
Gambling & Casinos,Denise Coates,United Kingdom,Stoke-on-Trent,Online gambling,Gambling & Casinos,United Kingdom,,U,F,1967-09-26 00:00:00,Coates,Denise,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Energy,Scott Duncan,United States,Houston,Pipelines,Energy,United States,,U,M,1982-11-01 00:00:00,Duncan,Scott,,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Energy,Milane Frantz,United States,Houston,Pipelines,Energy,United States,,U,F,1969-08-12 00:00:00,Frantz,Milane,,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Finance & Investments,"Edward Johnson, IV.",United States,Boston,Fidelity,Finance & Investments,United States,,U,M,1964-11-18 00:00:00,Johnson,Edward,,2023-04-04 05:01:00,Massachusetts,Northeast,"$21,427,700,000,000 "
Finance & Investments,Yuri Milner,United States,Los Altos,Tech investments,Finance & Investments,Israel,DST Global,D,M,1961-11-11 00:00:00,Milner,Yuri,Investor,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Technology,Gordon Moore,United States,Woodside,Intel,Technology,United States,Intel Corp.,D,M,1929-01-03 00:00:00,Moore,Gordon,Cofounder and Chairman Emeritus,2023-04-04 05:01:00,California,,"$21,427,700,000,000 "
Finance & Investments,John Overdeck,United States,Millburn,Hedge funds,Finance & Investments,United States,Two Sigma,U,M,1969-12-21 00:00:00,Overdeck,John,Investor,2023-04-04 05:01:00,New Jersey,Northeast,"$21,427,700,000,000 "
Finance & Investments,David Siegel,United States,Scarsdale,Hedge funds,Finance & Investments,United States,Two Sigma,U,M,1961-07-15 00:00:00,Siegel,David,Investor,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Diversified,Viktor Vekselberg,Russia,Moscow,"Metals, investments",Diversified,Russia,,U,M,1957-04-14 00:00:00,Vekselberg,Viktor,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Technology,Wang Laisheng,China,Shenzhen,Electronics components,Technology,Hong Kong,,D,M,1964-12-14 00:00:00,Wang,Laisheng,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Energy,Randa Duncan Williams,United States,Houston,Pipelines,Energy,United States,Enterprise GP Holdings,U,F,1961-08-28 00:00:00,Williams,Randa Duncan,Non-Executive Chairman of the Board,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Finance & Investments,Ken Fisher,United States,Dallas,Money management,Finance & Investments,United States,,U,M,1950-11-29 00:00:00,Fisher,Ken,,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Finance & Investments,Christopher Hohn,United Kingdom,London,Hedge funds,Finance & Investments,United Kingdom,The Children's Investment Fund Management,D,M,1966-10-27 00:00:00,Hohn,Christopher,Investor,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Manufacturing,Kjeld Kirk Kristiansen,Denmark,Billund,Lego,Manufacturing,Denmark,,D,M,1947-12-27 00:00:00,Kristiansen,Kjeld Kirk,,2023-04-04 05:01:00,,,"$348,078,018,464 "
Manufacturing,Sofie Kirk Kristiansen,Denmark,Billund,Lego,Manufacturing,Denmark,,D,F,1976-01-01 00:00:00,Kristiansen,Sofie Kirk,,2023-04-04 05:01:00,,,"$348,078,018,464 "
Manufacturing,Thomas Kirk Kristiansen,Denmark,Billund,Lego,Manufacturing,Denmark,,D,M,1979-01-01 00:00:00,Kristiansen,Thomas Kirk,,2023-04-04 05:01:00,,,"$348,078,018,464 "
Healthcare,Massimiliana Landini Aleotti & family,Italy,Fiesole,Pharmaceuticals,Healthcare,Italy,,U,F,1943-01-01 00:00:00,Landini Aleotti,Massimiliana,,2023-04-04 05:01:00,,,"$2,001,244,392,042 "
Automotive,Li Ping,China,Ningde,Batteries,Automotive,Hong Kong,,D,M,1968-01-01 00:00:00,Li,Ping,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Lin Jianhua,China,Hangzhou,Solar panel components,Manufacturing,China,,Split Family Fortune,M,1962-08-01 00:00:00,Lin,Jianhua,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Magdalena Martullo-Blocher,Switzerland,Feldmeilen,Chemicals,Manufacturing,Switzerland,,D,F,1969-01-01 00:00:00,Martullo-Blocher,Magdalena,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Telecom,Xavier Niel,France,Paris,"Internet, telecom",Telecom,France,,D,M,1967-08-25 00:00:00,Niel,Xavier,,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Energy,Terrence Pegula,United States,Boca Raton,Natural gas,Energy,United States,Buffalo Sabres,U,M,1951-03-27 00:00:00,Pegula,Terrence,Owner,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Real Estate,"Edward Roski, Jr.",United States,Los Angeles,Real estate,Real Estate,United States,"Majestic Realty, Co.",U,M,1938-12-25 00:00:00,Roski,Edward,President and Chairman,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Real Estate,John A. Sobrato & family,United States,Atherton,Real estate,Real Estate,United States,Sobrato Development Cos.,U,M,1939-05-23 00:00:00,Sobrato,John A.,Founder and Chairman,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Finance & Investments,George Soros,United States,Katonah,Hedge funds,Finance & Investments,United States,Soros Fund Management LLC,D,M,1930-08-12 00:00:00,Soros,George,Founder,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Technology,David Sun,United States,Irvine,Computer hardware,Technology,United States,Kingston Technology Corporation,U,M,1951-10-12 00:00:00,Sun,David,COO,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Manufacturing,Agnete Kirk Thinggaard,Denmark,Billund,Lego,Manufacturing,Denmark,,D,F,1983-05-18 00:00:00,Thinggaard,Agnete Kirk,,2023-04-04 05:01:00,,,"$348,078,018,464 "
Technology,John Tu,United States,Rolling Hills,Computer hardware,Technology,United States,Kingston Technology Corporation,U,M,1941-08-12 00:00:00,Tu,John,President,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Food & Beverage,Xu Shihui,China,Quanzhou,"Snacks, beverages",Food & Beverage,China,,D,M,1958-01-01 00:00:00,Xu,Shihui,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Rahel Blocher,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,,D,F,1976-01-01 00:00:00,Blocher,Rahel,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Food & Beverage,Bubba Cathy,United States,Atlanta,Chick-fil-A,Food & Beverage,United States,,U,M,1954-04-22 00:00:00,Cathy,Bubba,,2023-04-04 05:01:00,Georgia,South,"$21,427,700,000,000 "
Food & Beverage,Dan Cathy,United States,Atlanta,Chick-fil-A,Food & Beverage,United States,,U,M,1953-03-01 00:00:00,Cathy,Dan,,2023-04-04 05:01:00,Georgia,South,"$21,427,700,000,000 "
Food & Beverage,Trudy Cathy White,United States,Hampton,Chick-fil-A,Food & Beverage,United States,,U,F,1955-12-17 00:00:00,Cathy White,Trudy,,2023-04-04 05:01:00,Georgia,South,"$21,427,700,000,000 "
Finance & Investments,Bruce Kovner,United States,New York,Hedge funds,Finance & Investments,United States,Caxton Associates LP,U,M,1945-02-25 00:00:00,Kovner,Bruce,Founder,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Technology,"Henry Nicholas, III.",United States,Newport Coast,Semiconductors,Technology,United States,Broadcom,U,M,1959-10-08 00:00:00,Nicholas,Henry,Cofounder,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Finance & Investments,Nadia Thiele,Germany,Munich,Investments,Finance & Investments,Germany,,U,F,1976-01-07 00:00:00,Thiele,Nadia,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Finance & Investments,David Bonderman,United States,Fort Worth,Private equity,Finance & Investments,United States,,U,M,1942-11-27 00:00:00,Bonderman,David,,2023-04-04 05:01:00,Texas,South,"$21,427,700,000,000 "
Technology,Melinda French Gates,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,U,F,1964-08-15 00:00:00,French Gates,Melinda,Cochair,2023-04-04 05:01:00,Washington,West,"$21,427,700,000,000 "
Fashion & Retail,Nathan Kirsh,Eswatini (Swaziland),Ezulwini,"Retail, real estate",Fashion & Retail,Eswatini (Swaziland),,U,M,1932-01-06 00:00:00,Kirsh,Nathan,,2023-04-04 05:01:00,,,
Real Estate,Annette Lerner & family,United States,Chevy Chase,Real estate,Real Estate,United States,,N,F,1930-02-27 00:00:00,Lerner,Annette,,2023-04-04 05:01:00,Maryland,South,"$21,427,700,000,000 "
Real Estate,David Reuben,United Kingdom,London,"Investments, real estate",Real Estate,United Kingdom,,D,M,1938-09-01 00:00:00,Reuben,David,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Diversified,Simon Reuben,Monaco,Monaco,"Real estate, investments",Diversified,United Kingdom,,D,M,1941-05-01 00:00:00,Reuben,Simon,,2023-04-04 05:01:00,,,"$7,184,844,193 "
Real Estate,Radovan Vitek,Switzerland,Crans Montana,Real estate,Real Estate,Czech Republic,,U,M,1971-04-22 00:00:00,Vitek,Radovan,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Finance & Investments,Carl Bennet,Sweden,Gothenberg,Investments,Finance & Investments,Sweden,,D,M,1951-08-19 00:00:00,Bennet,Carl,,2023-04-04 05:01:00,,,"$530,832,908,738 "
Sports,Stephen Bisciotti,United States,Hobe Sound,"Staffing, Baltimore Ravens",Sports,United States,Baltimore Ravens,U,M,1960-04-10 00:00:00,Bisciotti,Stephen,Owner,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Finance & Investments,Stanley Druckenmiller,United States,New York,Hedge funds,Finance & Investments,United States,Duquesne Family Office,D,M,1953-06-14 00:00:00,Druckenmiller,Stanley,Founder,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
Healthcare,Jian Jun,China,Beijing,Biomedical products,Healthcare,China,,U,F,1963-11-01 00:00:00,Jian,Jun,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Energy,Alexei Kuzmichev,France,Paris,"Oil, banking, telecom",Energy,Russia,,U,M,1962-10-15 00:00:00,Kuzmichev,Alexei,,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Manufacturing,Dmitry Rybolovlev & family,Monaco,Monaco,Fertilizer,Manufacturing,Russia,,D,M,1966-11-22 00:00:00,Rybolovlev,Dmitry,,2023-04-04 05:01:00,,,"$7,184,844,193 "
Finance & Investments,Luis Carlos Sarmiento,Colombia,Bogota,Banking,Finance & Investments,Colombia,,D,M,1933-01-27 00:00:00,Sarmiento,Luis Carlos,,2023-04-04 05:01:00,,,"$323,802,808,108 "
Logistics,Dennis Washington,United States,Missoula,"Construction, mining",Logistics,United States,,D,M,1934-07-27 00:00:00,Washington,Dennis,,2023-04-04 05:01:00,Montana,West,"$21,427,700,000,000 "
Construction & Engineering,Anthony Bamford & family,United Kingdom,Gloucestershire,Construction equipment,Construction & Engineering,United Kingdom,,U,M,1945-10-23 00:00:00,Bamford,Anthony,,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Energy,Gao Jifan & family,China,Changzhou,Solar equipment,Energy,China,,D,M,1965-01-01 00:00:00,Gao,Jifan,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Finance & Investments,John Grayken,United Kingdom,London,Private equity,Finance & Investments,Ireland,,D,M,1956-06-01 00:00:00,Grayken,John,Investor,2023-04-04 05:01:00,,,"$2,827,113,184,696 "
Healthcare,Alain Merieux & family,France,Lyon,Pharmaceuticals,Healthcare,France,,D,M,1938-01-01 00:00:00,Merieux,Alain,,2023-04-04 05:01:00,,,"$2,715,518,274,227 "
Energy,Wang Yusuo & family,China,Langfang,Natural gas distribution,Energy,China,,U,M,1964-03-11 00:00:00,Wang,Yusuo,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Stef Wertheimer & family,Israel,Tel Aviv,Metalworking tools,Manufacturing,Israel,,U,M,1926-07-16 00:00:00,Wertheimer,Stef,,2023-04-04 05:01:00,,,"$395,098,666,122 "
Food & Beverage,Maria Asuncion Aramburuzabala & family,Mexico,Mexico City,"Beer, investments",Food & Beverage,Mexico,,E,F,1963-05-02 00:00:00,Aramburuzabala,Maria Asuncion,,2023-04-04 05:01:00,,,"$1,258,286,717,125 "
Diversified,Gustaf Douglas,Sweden,Stockholm,Investments,Diversified,Sweden,,D,M,1938-03-03 00:00:00,Douglas,Gustaf,,2023-04-04 05:01:00,,,"$530,832,908,738 "
Service,Frits Goldschmeding,Netherlands,Amsterdam,Temp agency,Service,Netherlands,,U,M,1933-08-02 00:00:00,Goldschmeding,Frits,,2023-04-04 05:01:00,,,"$909,070,395,161 "
Food & Beverage,Lin Muqin & family,China,Shenzhen,Beverages,Food & Beverage,China,,U,M,1964-01-01 00:00:00,Lin,Muqin,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Ruan Liping,China,Ningbo,Power strips,Manufacturing,Hong Kong,,U,M,1964-01-01 00:00:00,Ruan,Liping,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Manufacturing,Ruan Xueping,China,Ningbo,Power strip,Manufacturing,Hong Kong,,U,M,1972-01-01 00:00:00,Ruan,Xueping,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Finance & Investments,Michal Solowow,Poland,Kielce,Investments,Finance & Investments,Poland,,E,M,1962-07-11 00:00:00,Solowow,Michal,,2023-04-04 05:01:00,,,"$592,164,400,688 "
Diversified,Mike Adenuga,Nigeria,Lagos,"Telecom, oil",Diversified,Nigeria,,D,M,1953-04-29 00:00:00,Adenuga,Mike,,2023-04-04 05:01:00,,,"$448,120,428,859 "
Finance & Investments,Tom Gores,United States,Beverly Hills,Private equity,Finance & Investments,United States,,U,M,1964-07-31 00:00:00,Gores,Tom,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Fashion & Retail,Michael Herz,Germany,Hamburg,Coffee,Fashion & Retail,Germany,,U,M,1943-09-28 00:00:00,Herz,Michael,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Fashion & Retail,Wolfgang Herz,Germany,Hamburg,Coffee,Fashion & Retail,Germany,,U,M,1951-01-01 00:00:00,Herz,Wolfgang,,2023-04-04 05:01:00,,,"$3,845,630,030,824 "
Energy,Michael Kadoorie,Hong Kong,Hong Kong,"Hotels, energy",Energy,Hong Kong,,D,M,1941-07-19 00:00:00,Kadoorie,Michael,,2023-04-04 05:01:00,,,
Telecom,Sunil Mittal,,,Telecom,Telecom,India,,Split Family Fortune,M,1957-10-23 00:00:00,Mittal,Sunil,,2023-04-04 05:01:00,,,
Technology,Zhou Qunfei,Hong Kong,Hong Kong,Smartphone screens,Technology,Hong Kong,Lens Technology,D,F,,Zhou,Qunfei,Founder and CEO,2023-04-04 05:01:00,,,
Metals & Mining,Alexander Abramov,Russia,Moscow,"Steel, mining",Metals & Mining,Russia,,U,M,1959-02-20 00:00:00,Abramov,Alexander,,2023-04-04 05:01:00,,,"$1,699,876,578,871 "
Real Estate,Rene Benko,Austria,,"Real estate, retail",Real Estate,Austria,,U,M,1977-03-20 00:00:00,Benko,Rene,,2023-04-04 05:01:00,,,"$446,314,739,528 "
Real Estate,Neil Bluhm,United States,Chicago,Real estate,Real Estate,United States,,U,M,1938-01-12 00:00:00,Bluhm,Neil,,2023-04-04 05:01:00,Illinois,Midwest,"$21,427,700,000,000 "
Fashion & Retail,Alain Bouchard,Canada,Montreal,Convinience stores,Fashion & Retail,Canada,Alimentation Couche Tard Inc. Cl A,U,M,1949-02-18 00:00:00,Bouchard,Alain,Chairman and CEO,2023-04-04 05:01:00,,,"$1,736,425,629,520 "
Technology,Jay Chaudhry,United States,Reno,Security software,Technology,United States,,D,M,1959-08-26 00:00:00,Chaudhry,Jay,,2023-04-04 05:01:00,Nevada,West,"$21,427,700,000,000 "
Fashion & Retail,Gopikishan Damani,India,Mumbai,"Retail, investments",Fashion & Retail,India,,D,M,1958-01-01 00:00:00,Damani,Gopikishan,,2023-04-04 05:01:00,,,"$2,611,000,000,000 "
Diversified,Sumet Jiaravanon,Thailand,Bangkok,Diversified,Diversified,Thailand,,U,M,1934-11-02 00:00:00,Jiaravanon,Sumet,,2023-04-04 05:01:00,,,"$543,649,976,166 "
Finance & Investments,Joe Lewis,Bahamas,Albany,Investments,Finance & Investments,United Kingdom,,U,M,1937-02-05 00:00:00,Lewis,Joe,,2023-04-04 05:01:00,,,
Finance & Investments,Frank Lowy,Israel,Tel Aviv,Investments,Finance & Investments,Australia,,D,M,1930-10-22 00:00:00,Lowy,Frank,,2023-04-04 05:01:00,,,"$395,098,666,122 "
Finance & Investments,Michael Milken,United States,Los Angeles,Investments,Finance & Investments,United States,,U,M,1946-07-04 00:00:00,Milken,Michael,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Technology,David Steward,United States,St. Louis,IT provider,Technology,United States,,U,M,1951-07-02 00:00:00,Steward,David,,2023-04-04 05:01:00,Missouri,Midwest,"$21,427,700,000,000 "
Fashion & Retail,Les Wexner & family,United States,New Albany,Retail,Fashion & Retail,United States,,U,M,1937-09-08 00:00:00,Wexner,Les,,2023-04-04 05:01:00,Ohio,Midwest,"$21,427,700,000,000 "
Real Estate,Cai Kui,China,Chengdu,Real estate,Real Estate,China,,D,M,1963-01-01 00:00:00,Cai,Kui,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Diversified,Jaran Chiaravanont,Thailand,Bangkok,Diversified,Diversified,Thailand,,U,M,1930-04-01 00:00:00,Chiaravanont,Jaran,,2023-04-04 05:01:00,,,"$543,649,976,166 "
Finance & Investments,Andreas Halvorsen,United States,Darien,Hedge funds,Finance & Investments,Norway,Viking Global Investors,D,M,1961-04-23 00:00:00,Halvorsen,Andreas,Investor,2023-04-04 05:01:00,Connecticut,Northeast,"$21,427,700,000,000 "
Finance & Investments,Antony Ressler,United States,Los Angeles,Finance,Finance & Investments,United States,,U,M,1960-10-12 00:00:00,Ressler,Antony,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Food & Beverage,Tsai Eng-meng,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,,D,M,1957-01-15 00:00:00,Tsai,Eng-meng,,2023-04-04 05:01:00,,,"$19,910,000,000,000 "
Finance & Investments,Josh Harris,United States,Miami,Private equity,Finance & Investments,United States,,E,M,1964-12-29 00:00:00,Harris,Josh,,2023-04-04 05:01:00,Florida,South,"$21,427,700,000,000 "
Healthcare,Niels Peter Louis-Hansen,Denmark,Humlebaek,Medical devices,Healthcare,Denmark,,D,M,1947-10-25 00:00:00,Louis-Hansen,Niels Peter,,2023-04-04 05:01:00,,,"$348,078,018,464 "
Healthcare,Patrick Soon-Shiong,United States,Los Angeles,Pharmaceuticals,Healthcare,United States,,D,M,1952-07-29 00:00:00,Soon-Shiong,Patrick,,2023-04-04 05:01:00,California,West,"$21,427,700,000,000 "
Metals & Mining,Rinat Akhmetov,Ukraine,Donetsk,"Steel, coal",Metals & Mining,Ukraine,,U,M,1966-09-21 00:00:00,Akhmetov,Rinat,,2023-04-04 05:01:00,,,"$153,781,069,118 "
Healthcare,John Brown,United States,Atlanta,Medical equipment,Healthcare,United States,,U,M,1934-09-15 00:00:00,Brown,John,,2023-04-04 05:01:00,Georgia,South,"$21,427,700,000,000 "
Media & Entertainment,Clive Calder,Cayman Islands,Grand Cayman,Record label,Media & Entertainment,United Kingdom,,E,M,1946-12-13 00:00:00,Calder,Clive,,2023-04-04 05:01:00,,,
Energy,Arthur Irving,Canada,Saint John,Oil,Energy,Canada,,U,M,1930-01-01 00:00:00,Irving,Arthur,,2023-04-04 05:01:00,,,"$1,736,425,629,520 "
Real Estate,Fredrik Lundberg,Sweden,Stockholm,"Real estate, investments",Real Estate,Sweden,,D,M,1951-08-05 00:00:00,Lundberg,Fredrik,,2023-04-04 05:01:00,,,"$530,832,908,738 "
Construction & Engineering,Thomas Schmidheiny,Switzerland,Jona,Cement,Construction & Engineering,Switzerland,,U,M,1945-12-17 00:00:00,Schmidheiny,Thomas,,2023-04-04 05:01:00,,,"$703,082,435,360 "
Logistics,Helmut Sohmen,Hong Kong,Hong Kong,Shipping,Logistics,Austria,,U,M,1939-12-10 00:00:00,Sohmen,Helmut,,2023-04-04 05:01:00,,,
Finance & Investments,Daniel Ziff,United States,New York,Investments,Finance & Investments,United States,,U,M,1971-11-02 00:00:00,Ziff,Daniel,,2023-04-04 05:01:00,New York,Northeast,"$21,427,700,000,000 "
